Date,Domain,KPI_Name,KPI_Value,Dimension
2025-01-01,Customer Experience,Anomaly_Count,5.0,All Customers
2025-02-01,Customer Experience,Anomaly_Count,8.0,All Customers
2025-03-01,Customer Experience,Anomaly_Count,11.0,All Customers
2025-04-01,Customer Experience,Anomaly_Count,9.0,All Customers
2025-05-01,Customer Experience,Anomaly_Count,9.0,All Customers
2025-06-01,Customer Experience,Anomaly_Count,6.0,All Customers
2025-07-01,Customer Experience,Anomaly_Count,5.0,All Customers
2025-08-01,Customer Experience,Anomaly_Count,5.0,All Customers
2025-09-01,Customer Experience,Anomaly_Count,6.0,All Customers
2025-10-01,Customer Experience,Anomaly_Count,4.0,All Customers
2025-11-01,Customer Experience,Anomaly_Count,9.0,All Customers
2025-12-01,Customer Experience,Anomaly_Count,8.0,All Customers
2026-01-01,Customer Experience,Anomaly_Count,2.0,All Customers
2026-02-01,Customer Experience,Anomaly_Count,6.0,All Customers
2026-03-01,Customer Experience,Anomaly_Count,6.0,All Customers
2026-04-01,Customer Experience,Anomaly_Count,5.0,All Customers
2026-05-01,Customer Experience,Anomaly_Count,7.0,All Customers
2026-06-01,Customer Experience,Anomaly_Count,3.0,All Customers
2026-07-01,Customer Experience,Anomaly_Count,8.0,All Customers
2026-08-01,Customer Experience,Anomaly_Count,4.0,All Customers
2026-09-01,Customer Experience,Anomaly_Count,4.0,All Customers
2026-10-01,Customer Experience,Anomaly_Count,2.0,All Customers
2026-11-01,Customer Experience,Anomaly_Count,7.0,All Customers
2026-12-01,Customer Experience,Anomaly_Count,8.0,All Customers
2027-01-01,Customer Experience,Anomaly_Count,6.0,All Customers
2027-02-01,Customer Experience,Anomaly_Count,2.0,All Customers
2027-03-01,Customer Experience,Anomaly_Count,2.0,All Customers
2027-04-01,Customer Experience,Anomaly_Count,0.0,All Customers
2027-05-01,Customer Experience,Anomaly_Count,3.0,All Customers
2027-06-01,Customer Experience,Anomaly_Count,3.0,All Customers
2027-07-01,Customer Experience,Anomaly_Count,3.0,All Customers
2027-08-01,Customer Experience,Anomaly_Count,7.0,All Customers
2027-09-01,Customer Experience,Anomaly_Count,3.0,All Customers
2025-01-01,Customer Experience,Anomaly_Rate,0.023,All Customers
2025-02-01,Customer Experience,Anomaly_Rate,0.037,All Customers
2025-03-01,Customer Experience,Anomaly_Rate,0.052,All Customers
2025-04-01,Customer Experience,Anomaly_Rate,0.044,All Customers
2025-05-01,Customer Experience,Anomaly_Rate,0.046,All Customers
2025-06-01,Customer Experience,Anomaly_Rate,0.034,All Customers
2025-07-01,Customer Experience,Anomaly_Rate,0.029,All Customers
2025-08-01,Customer Experience,Anomaly_Rate,0.026,All Customers
2025-09-01,Customer Experience,Anomaly_Rate,0.035,All Customers
2025-10-01,Customer Experience,Anomaly_Rate,0.025,All Customers
2025-11-01,Customer Experience,Anomaly_Rate,0.057,All Customers
2025-12-01,Customer Experience,Anomaly_Rate,0.051,All Customers
2026-01-01,Customer Experience,Anomaly_Rate,0.012,All Customers
2026-02-01,Customer Experience,Anomaly_Rate,0.041,All Customers
2026-03-01,Customer Experience,Anomaly_Rate,0.043,All Customers
2026-04-01,Customer Experience,Anomaly_Rate,0.034,All Customers
2026-05-01,Customer Experience,Anomaly_Rate,0.054,All Customers
2026-06-01,Customer Experience,Anomaly_Rate,0.021,All Customers
2026-07-01,Customer Experience,Anomaly_Rate,0.062,All Customers
2026-08-01,Customer Experience,Anomaly_Rate,0.03,All Customers
2026-09-01,Customer Experience,Anomaly_Rate,0.031,All Customers
2026-10-01,Customer Experience,Anomaly_Rate,0.017,All Customers
2026-11-01,Customer Experience,Anomaly_Rate,0.057,All Customers
2026-12-01,Customer Experience,Anomaly_Rate,0.069,All Customers
2027-01-01,Customer Experience,Anomaly_Rate,0.056,All Customers
2027-02-01,Customer Experience,Anomaly_Rate,0.017,All Customers
2027-03-01,Customer Experience,Anomaly_Rate,0.02,All Customers
2027-04-01,Customer Experience,Anomaly_Rate,0.0,All Customers
2027-05-01,Customer Experience,Anomaly_Rate,0.027,All Customers
2027-06-01,Customer Experience,Anomaly_Rate,0.028,All Customers
2027-07-01,Customer Experience,Anomaly_Rate,0.031,All Customers
2027-08-01,Customer Experience,Anomaly_Rate,0.074,All Customers
2027-09-01,Customer Experience,Anomaly_Rate,0.032,All Customers
2025-01-01,Customer Experience,Avg_CSAT_Score,3.886,All Customers
2025-02-01,Customer Experience,Avg_CSAT_Score,3.865,All Customers
2025-03-01,Customer Experience,Avg_CSAT_Score,3.776,All Customers
2025-04-01,Customer Experience,Avg_CSAT_Score,3.847,All Customers
2025-05-01,Customer Experience,Avg_CSAT_Score,3.86,All Customers
2025-06-01,Customer Experience,Avg_CSAT_Score,3.85,All Customers
2025-07-01,Customer Experience,Avg_CSAT_Score,3.885,All Customers
2025-08-01,Customer Experience,Avg_CSAT_Score,3.974,All Customers
2025-09-01,Customer Experience,Avg_CSAT_Score,3.934,All Customers
2025-10-01,Customer Experience,Avg_CSAT_Score,3.892,All Customers
2025-11-01,Customer Experience,Avg_CSAT_Score,3.776,All Customers
2025-12-01,Customer Experience,Avg_CSAT_Score,3.738,All Customers
2026-01-01,Customer Experience,Avg_CSAT_Score,3.897,All Customers
2026-02-01,Customer Experience,Avg_CSAT_Score,3.935,All Customers
2026-03-01,Customer Experience,Avg_CSAT_Score,3.74,All Customers
2026-04-01,Customer Experience,Avg_CSAT_Score,3.851,All Customers
2026-05-01,Customer Experience,Avg_CSAT_Score,3.856,All Customers
2026-06-01,Customer Experience,Avg_CSAT_Score,3.856,All Customers
2026-07-01,Customer Experience,Avg_CSAT_Score,3.841,All Customers
2026-08-01,Customer Experience,Avg_CSAT_Score,3.886,All Customers
2026-09-01,Customer Experience,Avg_CSAT_Score,3.951,All Customers
2026-10-01,Customer Experience,Avg_CSAT_Score,3.805,All Customers
2026-11-01,Customer Experience,Avg_CSAT_Score,3.813,All Customers
2026-12-01,Customer Experience,Avg_CSAT_Score,3.698,All Customers
2027-01-01,Customer Experience,Avg_CSAT_Score,3.811,All Customers
2027-02-01,Customer Experience,Avg_CSAT_Score,3.809,All Customers
2027-03-01,Customer Experience,Avg_CSAT_Score,3.81,All Customers
2027-04-01,Customer Experience,Avg_CSAT_Score,3.909,All Customers
2027-05-01,Customer Experience,Avg_CSAT_Score,3.974,All Customers
2027-06-01,Customer Experience,Avg_CSAT_Score,3.915,All Customers
2027-07-01,Customer Experience,Avg_CSAT_Score,3.832,All Customers
2027-08-01,Customer Experience,Avg_CSAT_Score,3.841,All Customers
2027-09-01,Customer Experience,Avg_CSAT_Score,3.858,All Customers
2025-01-01,Customer Experience,Avg_NPS_Score,60.29,All Customers
2025-02-01,Customer Experience,Avg_NPS_Score,58.775,All Customers
2025-03-01,Customer Experience,Avg_NPS_Score,54.316,All Customers
2025-04-01,Customer Experience,Avg_NPS_Score,59.261,All Customers
2025-05-01,Customer Experience,Avg_NPS_Score,58.095,All Customers
2025-06-01,Customer Experience,Avg_NPS_Score,60.113,All Customers
2025-07-01,Customer Experience,Avg_NPS_Score,61.786,All Customers
2025-08-01,Customer Experience,Avg_NPS_Score,62.412,All Customers
2025-09-01,Customer Experience,Avg_NPS_Score,61.161,All Customers
2025-10-01,Customer Experience,Avg_NPS_Score,61.105,All Customers
2025-11-01,Customer Experience,Avg_NPS_Score,57.782,All Customers
2025-12-01,Customer Experience,Avg_NPS_Score,60.634,All Customers
2026-01-01,Customer Experience,Avg_NPS_Score,63.214,All Customers
2026-02-01,Customer Experience,Avg_NPS_Score,62.107,All Customers
2026-03-01,Customer Experience,Avg_NPS_Score,56.036,All Customers
2026-04-01,Customer Experience,Avg_NPS_Score,59.05,All Customers
2026-05-01,Customer Experience,Avg_NPS_Score,60.012,All Customers
2026-06-01,Customer Experience,Avg_NPS_Score,59.743,All Customers
2026-07-01,Customer Experience,Avg_NPS_Score,60.088,All Customers
2026-08-01,Customer Experience,Avg_NPS_Score,62.232,All Customers
2026-09-01,Customer Experience,Avg_NPS_Score,62.762,All Customers
2026-10-01,Customer Experience,Avg_NPS_Score,59.689,All Customers
2026-11-01,Customer Experience,Avg_NPS_Score,60.039,All Customers
2026-12-01,Customer Experience,Avg_NPS_Score,55.337,All Customers
2027-01-01,Customer Experience,Avg_NPS_Score,57.442,All Customers
2027-02-01,Customer Experience,Avg_NPS_Score,59.894,All Customers
2027-03-01,Customer Experience,Avg_NPS_Score,60.6,All Customers
2027-04-01,Customer Experience,Avg_NPS_Score,60.897,All Customers
2027-05-01,Customer Experience,Avg_NPS_Score,64.969,All Customers
2027-06-01,Customer Experience,Avg_NPS_Score,63.917,All Customers
2027-07-01,Customer Experience,Avg_NPS_Score,58.915,All Customers
2027-08-01,Customer Experience,Avg_NPS_Score,61.735,All Customers
2027-09-01,Customer Experience,Avg_NPS_Score,63.824,All Customers
2025-01-01,Customer Experience,Avg_Response_Time,45.775,All Customers
2025-02-01,Customer Experience,Avg_Response_Time,51.817,All Customers
2025-03-01,Customer Experience,Avg_Response_Time,50.813,All Customers
2025-04-01,Customer Experience,Avg_Response_Time,50.865,All Customers
2025-05-01,Customer Experience,Avg_Response_Time,46.961,All Customers
2025-06-01,Customer Experience,Avg_Response_Time,50.789,All Customers
2025-07-01,Customer Experience,Avg_Response_Time,51.783,All Customers
2025-08-01,Customer Experience,Avg_Response_Time,48.202,All Customers
2025-09-01,Customer Experience,Avg_Response_Time,52.093,All Customers
2025-10-01,Customer Experience,Avg_Response_Time,48.419,All Customers
2025-11-01,Customer Experience,Avg_Response_Time,66.47,All Customers
2025-12-01,Customer Experience,Avg_Response_Time,61.391,All Customers
2026-01-01,Customer Experience,Avg_Response_Time,44.925,All Customers
2026-02-01,Customer Experience,Avg_Response_Time,50.401,All Customers
2026-03-01,Customer Experience,Avg_Response_Time,44.797,All Customers
2026-04-01,Customer Experience,Avg_Response_Time,42.003,All Customers
2026-05-01,Customer Experience,Avg_Response_Time,43.361,All Customers
2026-06-01,Customer Experience,Avg_Response_Time,44.9,All Customers
2026-07-01,Customer Experience,Avg_Response_Time,54.849,All Customers
2026-08-01,Customer Experience,Avg_Response_Time,45.936,All Customers
2026-09-01,Customer Experience,Avg_Response_Time,44.932,All Customers
2026-10-01,Customer Experience,Avg_Response_Time,43.741,All Customers
2026-11-01,Customer Experience,Avg_Response_Time,58.889,All Customers
2026-12-01,Customer Experience,Avg_Response_Time,58.696,All Customers
2027-01-01,Customer Experience,Avg_Response_Time,49.806,All Customers
2027-02-01,Customer Experience,Avg_Response_Time,40.025,All Customers
2027-03-01,Customer Experience,Avg_Response_Time,41.138,All Customers
2027-04-01,Customer Experience,Avg_Response_Time,38.695,All Customers
2027-05-01,Customer Experience,Avg_Response_Time,45.442,All Customers
2027-06-01,Customer Experience,Avg_Response_Time,39.594,All Customers
2027-07-01,Customer Experience,Avg_Response_Time,40.91,All Customers
2027-08-01,Customer Experience,Avg_Response_Time,54.152,All Customers
2027-09-01,Customer Experience,Avg_Response_Time,46.222,All Customers
2025-01-01,Customer Experience,Avg_Severity_Score,49.824,All Customers
2025-02-01,Customer Experience,Avg_Severity_Score,50.244,All Customers
2025-03-01,Customer Experience,Avg_Severity_Score,48.956,All Customers
2025-04-01,Customer Experience,Avg_Severity_Score,52.384,All Customers
2025-05-01,Customer Experience,Avg_Severity_Score,48.228,All Customers
2025-06-01,Customer Experience,Avg_Severity_Score,44.162,All Customers
2025-07-01,Customer Experience,Avg_Severity_Score,47.63,All Customers
2025-08-01,Customer Experience,Avg_Severity_Score,48.013,All Customers
2025-09-01,Customer Experience,Avg_Severity_Score,47.624,All Customers
2025-10-01,Customer Experience,Avg_Severity_Score,46.829,All Customers
2025-11-01,Customer Experience,Avg_Severity_Score,65.87,All Customers
2025-12-01,Customer Experience,Avg_Severity_Score,62.668,All Customers
2026-01-01,Customer Experience,Avg_Severity_Score,45.656,All Customers
2026-02-01,Customer Experience,Avg_Severity_Score,51.897,All Customers
2026-03-01,Customer Experience,Avg_Severity_Score,48.079,All Customers
2026-04-01,Customer Experience,Avg_Severity_Score,43.514,All Customers
2026-05-01,Customer Experience,Avg_Severity_Score,50.136,All Customers
2026-06-01,Customer Experience,Avg_Severity_Score,47.06,All Customers
2026-07-01,Customer Experience,Avg_Severity_Score,50.302,All Customers
2026-08-01,Customer Experience,Avg_Severity_Score,48.027,All Customers
2026-09-01,Customer Experience,Avg_Severity_Score,48.328,All Customers
2026-10-01,Customer Experience,Avg_Severity_Score,45.072,All Customers
2026-11-01,Customer Experience,Avg_Severity_Score,60.664,All Customers
2026-12-01,Customer Experience,Avg_Severity_Score,59.339,All Customers
2027-01-01,Customer Experience,Avg_Severity_Score,49.935,All Customers
2027-02-01,Customer Experience,Avg_Severity_Score,47.66,All Customers
2027-03-01,Customer Experience,Avg_Severity_Score,44.783,All Customers
2027-04-01,Customer Experience,Avg_Severity_Score,54.526,All Customers
2027-05-01,Customer Experience,Avg_Severity_Score,48.155,All Customers
2027-06-01,Customer Experience,Avg_Severity_Score,48.052,All Customers
2027-07-01,Customer Experience,Avg_Severity_Score,47.528,All Customers
2027-08-01,Customer Experience,Avg_Severity_Score,51.781,All Customers
2027-09-01,Customer Experience,Avg_Severity_Score,47.988,All Customers
2025-01-01,Customer Experience,Churn_Rate,0.047,All Customers
2025-02-01,Customer Experience,Churn_Rate,0.056,All Customers
2025-03-01,Customer Experience,Churn_Rate,0.033,All Customers
2025-04-01,Customer Experience,Churn_Rate,0.049,All Customers
2025-05-01,Customer Experience,Churn_Rate,0.031,All Customers
2025-06-01,Customer Experience,Churn_Rate,0.034,All Customers
2025-07-01,Customer Experience,Churn_Rate,0.052,All Customers
2025-08-01,Customer Experience,Churn_Rate,0.053,All Customers
2025-09-01,Customer Experience,Churn_Rate,0.069,All Customers
2025-10-01,Customer Experience,Churn_Rate,0.031,All Customers
2025-11-01,Customer Experience,Churn_Rate,0.038,All Customers
2025-12-01,Customer Experience,Churn_Rate,0.044,All Customers
2026-01-01,Customer Experience,Churn_Rate,0.031,All Customers
2026-02-01,Customer Experience,Churn_Rate,0.054,All Customers
2026-03-01,Customer Experience,Churn_Rate,0.036,All Customers
2026-04-01,Customer Experience,Churn_Rate,0.014,All Customers
2026-05-01,Customer Experience,Churn_Rate,0.016,All Customers
2026-06-01,Customer Experience,Churn_Rate,0.028,All Customers
2026-07-01,Customer Experience,Churn_Rate,0.039,All Customers
2026-08-01,Customer Experience,Churn_Rate,0.03,All Customers
2026-09-01,Customer Experience,Churn_Rate,0.038,All Customers
2026-10-01,Customer Experience,Churn_Rate,0.017,All Customers
2026-11-01,Customer Experience,Churn_Rate,0.057,All Customers
2026-12-01,Customer Experience,Churn_Rate,0.034,All Customers
2027-01-01,Customer Experience,Churn_Rate,0.019,All Customers
2027-02-01,Customer Experience,Churn_Rate,0.078,All Customers
2027-03-01,Customer Experience,Churn_Rate,0.059,All Customers
2027-04-01,Customer Experience,Churn_Rate,0.043,All Customers
2027-05-01,Customer Experience,Churn_Rate,0.071,All Customers
2027-06-01,Customer Experience,Churn_Rate,0.018,All Customers
2027-07-01,Customer Experience,Churn_Rate,0.082,All Customers
2027-08-01,Customer Experience,Churn_Rate,0.021,All Customers
2027-09-01,Customer Experience,Churn_Rate,0.021,All Customers
2025-01-01,Customer Experience,Total_Support_Tickets,698.0,All Customers
2025-02-01,Customer Experience,Total_Support_Tickets,726.0,All Customers
2025-03-01,Customer Experience,Total_Support_Tickets,717.0,All Customers
