Driver_Domain,Driver_KPI,Target_Domain,Target_KPI,Correlation,P_Value,Months_Of_Data,Plain_English_Summary
Financial,Total_Cash_Flow,Customer Experience,Avg_CSAT_Score,-0.33,0.0048,33,"Past changes in Financial's Total_Cash_Flow help predict future changes in Customer Experience's Avg_CSAT_Score (as one decreases, the other tends to follow)."
Financial,Total_Cash_Flow,Customer Experience,Churn_Rate,-0.3,0.0168,33,"Past changes in Financial's Total_Cash_Flow help predict future changes in Customer Experience's Churn_Rate (as one decreases, the other tends to follow)."
Project,Total_Budget_Spent,Workforce,Avg_Overtime_Hours,0.5,0.0018,22,"Past changes in Project's Total_Budget_Spent help predict future changes in Workforce's Avg_Overtime_Hours (as one increases, the other tends to follow)."
Project,Total_Budget_Spent,Workforce,Avg_Attendance_Rate,-0.45,0.0147,22,"Past changes in Project's Total_Budget_Spent help predict future changes in Workforce's Avg_Attendance_Rate (as one decreases, the other tends to follow)."
Customer Experience,Avg_Response_Time,Project,Avg_Budget_Variance_Pct,0.49,0.0003,16,"Past changes in Customer Experience's Avg_Response_Time help predict future changes in Project's Avg_Budget_Variance_Pct (as one increases, the other tends to follow)."
Project,Avg_Budget_Variance_Pct,Financial,Avg_Profit_Margin,0.55,0.002,16,"Past changes in Project's Avg_Budget_Variance_Pct help predict future changes in Financial's Avg_Profit_Margin (as one increases, the other tends to follow)."
Customer Experience,Total_Support_Tickets,Project,Total_Budget_Spent,0.53,0.008,16,"Past changes in Customer Experience's Total_Support_Tickets help predict future changes in Project's Total_Budget_Spent (as one increases, the other tends to follow)."
Customer Experience,Total_Support_Tickets,Project,Avg_Percent_Complete,0.39,0.02,16,"Past changes in Customer Experience's Total_Support_Tickets help predict future changes in Project's Avg_Percent_Complete (as one increases, the other tends to follow)."
Customer Experience,Total_Support_Tickets,Project,Avg_Budget_Variance_Pct,0.54,0.03,16,"Past changes in Customer Experience's Total_Support_Tickets help predict future changes in Project's Avg_Budget_Variance_Pct (as one increases, the other tends to follow)."
Customer Experience,Avg_Response_Time,Project,Total_Budget_Spent,0.61,0.032,16,"Past changes in Customer Experience's Avg_Response_Time help predict future changes in Project's Total_Budget_Spent (as one increases, the other tends to follow)."
Customer Experience,Total_Support_Tickets,Project,Delayed_Task_Rate,-0.38,0.0401,16,"Past changes in Customer Experience's Total_Support_Tickets help predict future changes in Project's Delayed_Task_Rate (as one decreases, the other tends to follow)."
